  
       XFOIL         Version 6.99
  
 Calculated polar for: modified_NACA0012                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.600     Re =     2.740 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.4285   0.00742   0.00154  -0.0620   0.3949   0.0052
   0.250   0.4652   0.00740   0.00146  -0.0616   0.3796   0.0103
   0.500   0.4988   0.00681   0.00144  -0.0612   0.3653   0.2753
   0.750   0.5266   0.00567   0.00152  -0.0600   0.3515   0.7473
   1.000   0.5523   0.00534   0.00167  -0.0572   0.3385   0.9279
   1.250   0.5856   0.00544   0.00176  -0.0559   0.3237   0.9562
   1.500   0.6230   0.00559   0.00186  -0.0556   0.3090   0.9741
   2.000   0.7081   0.00596   0.00210  -0.0572   0.2775   0.9913
   2.250   0.7527   0.00619   0.00225  -0.0584   0.2606   0.9949
   2.500   0.7992   0.00641   0.00242  -0.0599   0.2452   0.9971
   2.750   0.8450   0.00664   0.00259  -0.0612   0.2291   0.9993
   3.000   0.8827   0.00686   0.00277  -0.0608   0.2158   1.0000
   3.250   0.9149   0.00709   0.00296  -0.0591   0.2014   1.0000
   3.500   0.9476   0.00733   0.00315  -0.0575   0.1889   1.0000
   3.750   0.9809   0.00758   0.00337  -0.0559   0.1767   1.0000
   4.000   1.0148   0.00786   0.00362  -0.0544   0.1629   1.0000
   4.500   1.0851   0.00843   0.00416  -0.0514   0.1407   1.0000
   5.000   1.1504   0.00941   0.00502  -0.0476   0.0960   1.0000
   5.250   1.1848   0.00983   0.00544  -0.0458   0.0832   1.0000
   5.500   1.2182   0.01033   0.00593  -0.0437   0.0683   1.0000
   5.750   1.2527   0.01078   0.00640  -0.0416   0.0590   1.0000
   6.250   1.3026   0.01268   0.00837  -0.0351   0.0003   1.0000
   6.500   1.3384   0.01306   0.00884  -0.0328   0.0003   1.0000
   6.750   1.3737   0.01347   0.00934  -0.0303   0.0003   1.0000
   7.000   1.4080   0.01390   0.00988  -0.0274   0.0003   1.0000
   7.250   1.4405   0.01434   0.01043  -0.0242   0.0003   1.0000
   7.500   1.4731   0.01484   0.01105  -0.0208   0.0003   1.0000
   7.750   1.5056   0.01541   0.01175  -0.0173   0.0003   1.0000
   8.000   1.5362   0.01614   0.01263  -0.0135   0.0003   1.0000
   8.250   1.5606   0.01725   0.01394  -0.0092   0.0003   1.0000
   8.500   1.5723   0.01910   0.01602  -0.0047   0.0003   1.0000
   8.750   1.5713   0.02185   0.01902  -0.0008   0.0003   1.0000
   9.000   1.5625   0.02546   0.02287   0.0017   0.0003   1.0000
   9.250   1.5485   0.02984   0.02746   0.0028   0.0003   1.0000
   9.500   1.5303   0.03485   0.03266   0.0026   0.0003   1.0000
   9.750   1.5091   0.04030   0.03828   0.0016   0.0003   1.0000
